"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Male"	"M"	"20-24 years"	"20-24"	"1990"	"1990"	362	151661	238.7
	"Alabama"	"01"	"Male"	"M"	"20-24 years"	"20-24"	"1991"	"1991"	331	157526	210.1
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"1989"	"1989"	805	319677	251.8
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"1990"	"1990"	758	316583	239.4
	"Alabama"	"01"	"Male"	"M"	"25-34 years"	"25-34"	"1991"	"1991"	802	316406	253.5
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"1989"	"1989"	961	276136	348.0
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"1990"	"1990"	998	283420	352.1
	"Alabama"	"01"	"Male"	"M"	"35-44 years"	"35-44"	"1991"	"1991"	1033	299564	344.8
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"1989"	"1989"	1528	197690	772.9
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"1990"	"1990"	1520	200089	759.7
	"Alabama"	"01"	"Male"	"M"	"45-54 years"	"45-54"	"1991"	"1991"	1606	206284	778.5
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"1989"	"1989"	3166	167109	1894.6
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"1990"	"1990"	3118	167585	1860.5
	"Alabama"	"01"	"Male"	"M"	"55-64 years"	"55-64"	"1991"	"1991"	3186	170298	1870.8
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"1989"	"1989"	5236	127105	4119.4
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"1990"	"1990"	5142	127940	4019.1
	"Alabama"	"01"	"Male"	"M"	"65-74 years"	"65-74"	"1991"	"1991"	5297	130074	4072.3
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"1989"	"1989"	5327	61274	8693.7
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"1990"	"1990"	5547	62115	8930.2
	"Alabama"	"01"	"Male"	"M"	"75-84 years"	"75-84"	"1991"	"1991"	5477	63319	8649.9
	"Alabama"	"01"	"Male"	"M"	"85+ years"	"85+"	"1989"	"1989"	2347	12781	18363.2
	"Alabama"	"01"	"Male"	"M"	"85+ years"	"85+"	"1990"	"1990"	2373	12979	18283.4
	"Alabama"	"01"	"Male"	"M"	"85+ years"	"85+"	"1991"	"1991"	2453	13667	17948.3
	"Alaska"	"02"	"Female"	"F"	"< 1 year"	"1"	"1989"	"1989"	34	5788	587.4
	"Alaska"	"02"	"Female"	"F"	"< 1 year"	"1"	"1990"	"1990"	44	5852	751.9
	"Alaska"	"02"	"Female"	"F"	"< 1 year"	"1"	"1991"	"1991"	34	5711	595.3
	"Alaska"	"02"	"Female"	"F"	"1-4 years"	"1-4"	"1989"	"1989"	10	22151	45.1
	"Alaska"	"02"	"Female"	"F"	"15-19 years"	"15-19"	"1989"	"1989"	15	18022	83.2
	"Alaska"	"02"	"Female"	"F"	"15-19 years"	"15-19"	"1990"	"1990"	10	17478	57.2
	"Alaska"	"02"	"Female"	"F"	"15-19 years"	"15-19"	"1991"	"1991"	15	18403	81.5
	"Alaska"	"02"	"Female"	"F"	"20-24 years"	"20-24"	"1990"	"1990"	22	18643	118.0
	"Alaska"	"02"	"Female"	"F"	"20-24 years"	"20-24"	"1991"	"1991"	14	17151	81.6
	"Alaska"	"02"	"Female"	"F"	"25-34 years"	"25-34"	"1989"	"1989"	42	54083	77.7
	"Alaska"	"02"	"Female"	"F"	"25-34 years"	"25-34"	"1990"	"1990"	44	54335	81.0
	"Alaska"	"02"	"Female"	"F"	"25-34 years"	"25-34"	"1991"	"1991"	49	53764	91.1
	"Alaska"	"02"	"Female"	"F"	"35-44 years"	"35-44"	"1989"	"1989"	68	46179	147.3
	"Alaska"	"02"	"Female"	"F"	"35-44 years"	"35-44"	"1990"	"1990"	49	47420	103.3
	"Alaska"	"02"	"Female"	"F"	"35-44 years"	"35-44"	"1991"	"1991"	60	51283	117.0
	"Alaska"	"02"	"Female"	"F"	"45-54 years"	"45-54"	"1989"	"1989"	67	23595	284.0
	"Alaska"	"02"	"Female"	"F"	"45-54 years"	"45-54"	"1990"	"1990"	76	24150	314.7
	"Alaska"	"02"	"Female"	"F"	"45-54 years"	"45-54"	"1991"	"1991"	82	25925	316.3
	"Alaska"	"02"	"Female"	"F"	"55-64 years"	"55-64"	"1989"	"1989"	100	13758	726.8
	"Alaska"	"02"	"Female"	"F"	"55-64 years"	"55-64"	"1990"	"1990"	106	13649	776.6
	"Alaska"	"02"	"Female"	"F"	"55-64 years"	"55-64"	"1991"	"1991"	116	14300	811.2
	"Alaska"	"02"	"Female"	"F"	"65-74 years"	"65-74"	"1989"	"1989"	149	7522	1980.9
	"Alaska"	"02"	"Female"	"F"	"65-74 years"	"65-74"	"1990"	"1990"	178	7869	2262.0
	"Alaska"	"02"	"Female"	"F"	"65-74 years"	"65-74"	"1991"	"1991"	141	8405	1677.6
	"Alaska"	"02"	"Female"	"F"	"75-84 years"	"75-84"	"1989"	"1989"	160	2918	5483.2
	"Alaska"	"02"	"Female"	"F"	"75-84 years"	"75-84"	"1990"	"1990"	147	3064	4797.7
	"Alaska"	"02"	"Female"	"F"	"75-84 years"	"75-84"	"1991"	"1991"	197	3369	5847.4
	"Alaska"	"02"	"Female"	"F"	"85+ years"	"85+"	"1989"	"1989"	100	721	13869.6
	"Alaska"	"02"	"Female"	"F"	"85+ years"	"85+"	"1990"	"1990"	96	744	12903.2
	"Alaska"	"02"	"Female"	"F"	"85+ years"	"85+"	"1991"	"1991"	94	853	11019.9
	"Alaska"	"02"	"Male"	"M"	"< 1 year"	"1"	"1989"	"1989"	73	5878	1241.9
	"Alaska"	"02"	"Male"	"M"	"< 1 year"	"1"	"1990"	"1990"	81	6050	1338.8
	"Alaska"	"02"	"Male"	"M"	"< 1 year"	"1"	"1991"	"1991"	70	5975	1171.5
	"Alaska"	"02"	"Male"	"M"	"1-4 years"	"1-4"	"1989"	"1989"	19	23348	81.4
	"Alaska"	"02"	"Male"	"M"	"1-4 years"	"1-4"	"1990"	"1990"	19	22616	84.0
	"Alaska"	"02"	"Male"	"M"	"1-4 years"	"1-4"	"1991"	"1991"	14	23524	59.5
	"Alaska"	"02"	"Male"	"M"	"5-9 years"	"5-9"	"1989"	"1989"	11	26154	42.1
	"Alaska"	"02"	"Male"	"M"	"5-9 years"	"5-9"	"1990"	"1990"	10	26543	37.7
	"Alaska"	"02"	"Male"	"M"	"10-14 years"	"10-14"	"1990"	"1990"	18	22333	80.6
	"Alaska"	"02"	"Male"	"M"	"15-19 years"	"15-19"	"1989"	"1989"	48	20433	234.9
	"Alaska"	"02"	"Male"	"M"	"15-19 years"	"15-19"	"1990"	"1990"	35	19950	175.4
	"Alaska"	"02"	"Male"	"M"	"15-19 years"	"15-19"	"1991"	"1991"	34	20697	164.3
	"Alaska"	"02"	"Male"	"M"	"20-24 years"	"20-24"	"1989"	"1989"	57	23456	243.0
	"Alaska"	"02"	"Male"	"M"	"20-24 years"	"20-24"	"1990"	"1990"	54	23014	234.6
	"Alaska"	"02"	"Male"	"M"	"20-24 years"	"20-24"	"1991"	"1991"	55	21450	256.4
	"Alaska"	"02"	"Male"	"M"	"25-34 years"	"25-34"	"1989"	"1989"	152	59284	256.4
	"Alaska"	"02"	"Male"	"M"	"25-34 years"	"25-34"	"1990"	"1990"	132	59181	223.0
	"Alaska"	"02"	"Male"	"M"	"25-34 years"	"25-34"	"1991"	"1991"	131	58812	222.7
	"Alaska"	"02"	"Male"	"M"	"35-44 years"	"35-44"	"1989"	"1989"	124	53661	231.1
	"Alaska"	"02"	"Male"	"M"	"35-44 years"	"35-44"	"1990"	"1990"	158	55028	287.1
	"Alaska"	"02"	"Male"	"M"	"35-44 years"	"35-44"	"1991"	"1991"	142	58799	241.5
	"Alaska"	"02"	"Male"	"M"	"45-54 years"	"45-54"	"1989"	"1989"	133	28436	467.7
	"Alaska"	"02"	"Male"	"M"	"45-54 years"	"45-54"	"1990"	"1990"	149	29094	512.1
	"Alaska"	"02"	"Male"	"M"	"45-54 years"	"45-54"	"1991"	"1991"	130	31002	419.3
	"Alaska"	"02"	"Male"	"M"	"55-64 years"	"55-64"	"1989"	"1989"	207	15695	1318.9
	"Alaska"	"02"	"Male"	"M"	"55-64 years"	"55-64"	"1990"	"1990"	219	15582	1405.5
	"Alaska"	"02"	"Male"	"M"	"55-64 years"	"55-64"	"1991"	"1991"	236	16376	1441.1
	"Alaska"	"02"	"Male"	"M"	"65-74 years"	"65-74"	"1989"	"1989"	238	7240	3287.3
	"Alaska"	"02"	"Male"	"M"	"65-74 years"	"65-74"	"1990"	"1990"	261	7522	3469.8
	"Alaska"	"02"	"Male"	"M"	"65-74 years"	"65-74"	"1991"	"1991"	265	8101	3271.2
	"Alaska"	"02"	"Male"	"M"	"75-84 years"	"75-84"	"1989"	"1989"	184	2304	7986.1
	"Alaska"	"02"	"Male"	"M"	"75-84 years"	"75-84"	"1990"	"1990"	191	2440	7827.9
	"Alaska"	"02"	"Male"	"M"	"75-84 years"	"75-84"	"1991"	"1991"	211	2597	8124.8
	"Alaska"	"02"	"Male"	"M"	"85+ years"	"85+"	"1989"	"1989"	74	425	17411.8
	"Alaska"	"02"	"Male"	"M"	"85+ years"	"85+"	"1990"	"1990"	78	456	17105.3
	"Alaska"	"02"	"Male"	"M"	"85+ years"	"85+"	"1991"	"1991"	80	484	16528.9
	"Arizona"	"04"	"Female"	"F"	"< 1 year"	"1"	"1989"	"1989"	293	32675	896.7
	"Arizona"	"04"	"Female"	"F"	"< 1 year"	"1"	"1990"	"1990"	235	33803	695.2
	"Arizona"	"04"	"Female"	"F"	"< 1 year"	"1"	"1991"	"1991"	251	33175	756.6
	"Arizona"	"04"	"Female"	"F"	"1-4 years"	"1-4"	"1989"	"1989"	59	116171	50.8
	"Arizona"	"04"	"Female"	"F"	"1-4 years"	"1-4"	"1990"	"1990"	43	115392	37.3
	"Arizona"	"04"	"Female"	"F"	"1-4 years"	"1-4"	"1991"	"1991"	65	120400	54.0
	"Arizona"	"04"	"Female"	"F"	"5-9 years"	"5-9"	"1989"	"1989"	30	134692	22.3
	"Arizona"	"04"	"Female"	"F"	"5-9 years"	"5-9"	"1990"	"1990"	25	137134	18.2
	"Arizona"	"04"	"Female"	"F"	"5-9 years"	"5-9"	"1991"	"1991"	27	141381	19.1
	"Arizona"	"04"	"Female"	"F"	"10-14 years"	"10-14"	"1989"	"1989"	30	122985	24.4
	"Arizona"	"04"	"Female"	"F"	"10-14 years"	"10-14"	"1990"	"1990"	29	125668	23.1
	"Arizona"	"04"	"Female"	"F"	"10-14 years"	"10-14"	"1991"	"1991"	25	133711	18.7
	"Arizona"	"04"	"Female"	"F"	"15-19 years"	"15-19"	"1989"	"1989"	68	128326	53.0
	"Arizona"	"04"	"Female"	"F"	"15-19 years"	"15-19"	"1990"	"1990"	51	127346	40.0
	"Arizona"	"04"	"Female"	"F"	"15-19 years"	"15-19"	"1991"	"1991"	69	124545	55.4
	"Arizona"	"04"	"Female"	"F"	"20-24 years"	"20-24"	"1989"	"1989"	89	135898	65.5
	"Arizona"	"04"	"Female"	"F"	"20-24 years"	"20-24"	"1990"	"1990"	72	135390	53.2
	"Arizona"	"04"	"Female"	"F"	"20-24 years"	"20-24"	"1991"	"1991"	76	137951	55.1
	"Arizona"	"04"	"Female"	"F"	"25-34 years"	"25-34"	"1989"	"1989"	188	313667	59.9
	"Arizona"	"04"	"Female"	"F"	"25-34 years"	"25-34"	"1990"	"1990"	212	312589	67.8
	"Arizona"	"04"	"Female"	"F"	"25-34 years"	"25-34"	"1991"	"1991"	212	317504	66.8
	"Arizona"	"04"	"Female"	"F"	"35-44 years"	"35-44"	"1989"	"1989"	329	255899	128.6
	"Arizona"	"04"	"Female"	"F"	"35-44 years"	"35-44"	"1990"	"1990"	347	262979	131.9
	"Arizona"	"04"	"Female"	"F"	"35-44 years"	"35-44"	"1991"	"1991"	367	277690	132.2
	"Arizona"	"04"	"Female"	"F"	"45-54 years"	"45-54"	"1989"	"1989"	543	174788	310.7
	"Arizona"	"04"	"Female"	"F"	"45-54 years"	"45-54"	"1990"	"1990"	548	177968	307.9
	"Arizona"	"04"	"Female"	"F"	"45-54 years"	"45-54"	"1991"	"1991"	633	184552	343.0
	"Arizona"	"04"	"Female"	"F"	"55-64 years"	"55-64"	"1989"	"1989"	1341	158425	846.5
	"Arizona"	"04"	"Female"	"F"	"55-64 years"	"55-64"	"1990"	"1990"	1272	158365	803.2
	"Arizona"	"04"	"Female"	"F"	"55-64 years"	"55-64"	"1991"	"1991"	1296	159356	813.3
	"Arizona"	"04"	"Female"	"F"	"65-74 years"	"65-74"	"1989"	"1989"	2826	154212	1832.5
	"Arizona"	"04"	"Female"	"F"	"65-74 years"	"65-74"	"1990"	"1990"	2850	157889	1805.1
	"Arizona"	"04"	"Female"	"F"	"65-74 years"	"65-74"	"1991"	"1991"	2755	164547	1674.3
	"Arizona"	"04"	"Female"	"F"	"75-84 years"	"75-84"	"1989"	"1989"	3762	84712	4440.9
	"Arizona"	"04"	"Female"	"F"	"75-84 years"	"75-84"	"1990"	"1990"	3895	87660	4443.3
	"Arizona"	"04"	"Female"	"F"	"75-84 years"	"75-84"	"1991"	"1991"	3970	93517	4245.2
	"Arizona"	"04"	"Female"	"F"	"85+ years"	"85+"	"1989"	"1989"	3122	23774	13132.0
	"Arizona"	"04"	"Female"	"F"	"85+ years"	"85+"	"1990"	"1990"	3330	24801	13426.9
	"Arizona"	"04"	"Female"	"F"	"85+ years"	"85+"	"1991"	"1991"	3591	27518	13049.6
	"Arizona"	"04"	"Male"	"M"	"< 1 year"	"1"	"1989"	"1989"	327	34521	947.2
	"Arizona"	"04"	"Male"	"M"	"< 1 year"	"1"	"1990"	"1990"	375	35192	1065.6
	"Arizona"	"04"	"Male"	"M"	"< 1 year"	"1"	"1991"	"1991"	333	34934	953.2
	"Arizona"	"04"	"Male"	"M"	"1-4 years"	"1-4"	"1989"	"1989"	91	121497	74.9
	"Arizona"	"04"	"Male"	"M"	"1-4 years"	"1-4"	"1990"	"1990"	76	120789	62.9
	"Arizona"	"04"	"Male"	"M"	"1-4 years"	"1-4"	"1991"	"1991"	75	126020	59.5
	"Arizona"	"04"	"Male"	"M"	"5-9 years"	"5-9"	"1989"	"1989"	47	140798	33.4
	"Arizona"	"04"	"Male"	"M"	"5-9 years"	"5-9"	"1990"	"1990"	35	143410	24.4
	"Arizona"	"04"	"Male"	"M"	"5-9 years"	"5-9"	"1991"	"1991"	40	147921	27.0
	"Arizona"	"04"	"Male"	"M"	"10-14 years"	"10-14"	"1989"	"1989"	44	128573	34.2
	"Arizona"	"04"	"Male"	"M"	"10-14 years"	"10-14"	"1990"	"1990"	50	131372	38.1
	"Arizona"	"04"	"Male"	"M"	"10-14 years"	"10-14"	"1991"	"1991"	37	139972	26.4
	"Arizona"	"04"	"Male"	"M"	"15-19 years"	"15-19"	"1989"	"1989"	200	136224	146.8
	"Arizona"	"04"	"Male"	"M"	"15-19 years"	"15-19"	"1990"	"1990"	187	135482	138.0
	"Arizona"	"04"	"Male"	"M"	"15-19 years"	"15-19"	"1991"	"1991"	194	132625	146.3
	"Arizona"	"04"	"Male"	"M"	"20-24 years"	"20-24"	"1989"	"1989"	266	145995	182.2
	"Arizona"	"04"	"Male"	"M"	"20-24 years"	"20-24"	"1990"	"1990"	283	146014	193.8
	"Arizona"	"04"	"Male"	"M"	"20-24 years"	"20-24"	"1991"	"1991"	247	148572	166.2
	"Arizona"	"04"	"Male"	"M"	"25-34 years"	"25-34"	"1989"	"1989"	655	323465	202.5
	"Arizona"	"04"	"Male"	"M"	"25-34 years"	"25-34"	"1990"	"1990"	632	321931	196.3
	"Arizona"	"04"	"Male"	"M"	"25-34 years"	"25-34"	"1991"	"1991"	661	329261	200.8
	"Arizona"	"04"	"Male"	"M"	"35-44 years"	"35-44"	"1989"	"1989"	793	255735	310.1
	"Arizona"	"04"	"Male"	"M"	"35-44 years"	"35-44"	"1990"	"1990"	785	263280	298.2
	"Arizona"	"04"	"Male"	"M"	"35-44 years"	"35-44"	"1991"	"1991"	884	278689	317.2
	"Arizona"	"04"	"Male"	"M"	"45-54 years"	"45-54"	"1989"	"1989"	957	166076	576.2
	"Arizona"	"04"	"Male"	"M"	"45-54 years"	"45-54"	"1990"	"1990"	1000	169028	591.6
	"Arizona"	"04"	"Male"	"M"	"45-54 years"	"45-54"	"1991"	"1991"	1044	175407	595.2
	"Arizona"	"04"	"Male"	"M"	"55-64 years"	"55-64"	"1989"	"1989"	2095	140427	1491.9
	"Arizona"	"04"	"Male"	"M"	"55-64 years"	"55-64"	"1990"	"1990"	2024	140861	1436.9
	"Arizona"	"04"	"Male"	"M"	"55-64 years"	"55-64"	"1991"	"1991"	2033	142424	1427.4
	"Arizona"	"04"	"Male"	"M"	"65-74 years"	"65-74"	"1989"	"1989"	4021	128109	3138.7
	"Arizona"	"04"	"Male"	"M"	"65-74 years"	"65-74"	"1990"	"1990"	4063	130864	3104.7
	"Arizona"	"04"	"Male"	"M"	"65-74 years"	"65-74"	"1991"	"1991"	4156	136648	3041.4
	"Arizona"	"04"	"Male"	"M"	"75-84 years"	"75-84"	"1989"	"1989"	4149	60530	6854.5
	"Arizona"	"04"	"Male"	"M"	"75-84 years"	"75-84"	"1990"	"1990"	4356	62513	6968.2
	"Arizona"	"04"	"Male"	"M"	"75-84 years"	"75-84"	"1991"	"1991"	4366	67628	6455.9
	"Arizona"	"04"	"Male"	"M"	"85+ years"	"85+"	"1989"	"1989"	1867	11785	15842.2
	"Arizona"	"04"	"Male"	"M"	"85+ years"	"85+"	"1990"	"1990"	1997	12289	16250.3
	"Arizona"	"04"	"Male"	"M"	"85+ years"	"85+"	"1991"	"1991"	2127	13470	15790.6
	"Arizona"	"04"	"Male"	"M"	"Not Stated"	"NS"	"1989"	"1989"	16	Not Applicable	Not Applicable
	"Arizona"	"04"	"Male"	"M"	"Not Stated"	"NS"	"1990"	"1990"	12	Not Applicable	Not Applicable
	"Arizona"	"04"	"Male"	"M"	"Not Stated"	"NS"	"1991"	"1991"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Female"	"F"	"< 1 year"	"1"	"1989"	"1989"	158	17503	902.7
	"Arkansas"	"05"	"Female"	"F"	"< 1 year"	"1"	"1990"	"1990"	154	17808	864.8
	"Arkansas"	"05"	"Female"	"F"	"< 1 year"	"1"	"1991"	"1991"	157	17215	912.0
	"Arkansas"	"05"	"Female"	"F"	"1-4 years"	"1-4"	"1989"	"1989"	38	65622	57.9
	"Arkansas"	"05"	"Female"	"F"	"1-4 years"	"1-4"	"1990"	"1990"	45	65167	69.1
	"Arkansas"	"05"	"Female"	"F"	"1-4 years"	"1-4"	"1991"	"1991"	37	65468	56.5
	"Arkansas"	"05"	"Female"	"F"	"5-9 years"	"5-9"	"1989"	"1989"	26	85796	30.3
	"Arkansas"	"05"	"Female"	"F"	"5-9 years"	"5-9"	"1990"	"1990"	22	85125	25.8
	"Arkansas"	"05"	"Female"	"F"	"5-9 years"	"5-9"	"1991"	"1991"	23	84024	27.4
	"Arkansas"	"05"	"Female"	"F"	"10-14 years"	"10-14"	"1989"	"1989"	32	84539	37.9
	"Arkansas"	"05"	"Female"	"F"	"10-14 years"	"10-14"	"1990"	"1990"	23	85244	27.0
	"Arkansas"	"05"	"Female"	"F"	"10-14 years"	"10-14"	"1991"	"1991"	23	87186	26.4
	"Arkansas"	"05"	"Female"	"F"	"15-19 years"	"15-19"	"1989"	"1989"	62	88381	70.2
	"Arkansas"	"05"	"Female"	"F"	"15-19 years"	"15-19"	"1990"	"1990"	40	87581	45.7
	"Arkansas"	"05"	"Female"	"F"	"15-19 years"	"15-19"	"1991"	"1991"	58	86569	67.0
	"Arkansas"	"05"	"Female"	"F"	"20-24 years"	"20-24"	"1989"	"1989"	59	84544	69.8
	"Arkansas"	"05"	"Female"	"F"	"20-24 years"	"20-24"	"1990"	"1990"	51	82252	62.0
	"Arkansas"	"05"	"Female"	"F"	"20-24 years"	"20-24"	"1991"	"1991"	73	84714	86.2
	"Arkansas"	"05"	"Female"	"F"	"25-34 years"	"25-34"	"1989"	"1989"	174	183950	94.6
	"Arkansas"	"05"	"Female"	"F"	"25-34 years"	"25-34"	"1990"	"1990"	174	183051	95.1
	"Arkansas"	"05"	"Female"	"F"	"25-34 years"	"25-34"	"1991"	"1991"	186	181616	102.4
	"Arkansas"	"05"	"Female"	"F"	"35-44 years"	"35-44"	"1989"	"1989"	227	163881	138.5
	"Arkansas"	"05"	"Female"	"F"	"35-44 years"	"35-44"	"1990"	"1990"	264	166968	158.1
	"Arkansas"	"05"	"Female"	"F"	"35-44 years"	"35-44"	"1991"	"1991"	272	174421	155.9
	"Arkansas"	"05"	"Female"	"F"	"45-54 years"	"45-54"	"1989"	"1989"	425	123184	345.0
	"Arkansas"	"05"	"Female"	"F"	"45-54 years"	"45-54"	"1990"	"1990"	480	124728	384.8
	"Arkansas"	"05"	"Female"	"F"	"45-54 years"	"45-54"	"1991"	"1991"	470	128109	366.9
	"Arkansas"	"05"	"Female"	"F"	"55-64 years"	"55-64"	"1989"	"1989"	1018	114330	890.4
	"Arkansas"	"05"	"Female"	"F"	"55-64 years"	"55-64"	"1990"	"1990"	1093	114065	958.2
