CPH-L-131B. Size of Household--Households by Total Money Income in 1989, by State,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
------------------------------------------------------------------------------------------------------------,,,,,,,
                              Total,1-Person,2-Person,3-Person,4-Person,5-Person,6+-Persons,
"Less than $5,000","6,631","3,458","1,473",760,457,263,220
"$5,000 to $9,999","9,152","4,905","2,009","1,008",669,308,253
"$10,000 to $12,499","6,156","2,505","1,339","1,104",652,359,197
"$12,500 to $14,999","5,972","2,215","1,302","1,009",783,410,253
"$15,000 to $17,499","6,229","2,225","1,543",974,837,390,260
"$17,500 to $19,999","5,900","1,788","1,636",900,879,378,319
"$20,000 to $22,499","6,870","2,362","1,876",981,817,546,288
"$22,500 to $24,999","6,140","1,846","1,702","1,029",767,448,348
"$25,000 to $27,499","6,952","2,050","2,007","1,063",983,502,347
"$27,500 to $29,999","6,080","1,475","1,772","1,011",990,467,365
"$30,000 to $32,499","6,924","2,125","1,964",863,"1,093",566,313
"$32,500 to $34,999","5,917","1,344","1,685","1,145",858,580,305
"$35,000 to $37,499","6,414","1,524","1,823","1,141","1,011",553,362
"$37,500 to $39,999","5,836","1,162","1,800","1,010",999,524,341
"$40,000 to $42,499","6,529","1,605","1,948","1,001","1,054",596,325
"$42,500 to $44,999","5,268",916,"1,824",935,883,446,264
"$45,000 to $47,499","5,890","1,127","1,852","1,039","1,043",477,352
"$47,500 to $49,999","5,185",766,"1,586",916,"1,032",569,316
"$50,000 to $54,999","10,428","1,691","2,924","1,927","2,110","1,085",691
"$55,000 to $59,999","8,235",847,"2,452","1,711","1,946",859,420
"$60,000 to $74,499","21,756","1,811","6,996","4,735","4,870","2,072","1,272"
"$75,000 to $99,999","20,626","1,090","6,742","4,634","4,901","2,074","1,185"
"$100,000 to $124,999","7,870",321,"2,461","2,010","1,774",807,497
"$125,000 to $149,999","2,903",119,954,689,684,286,171
"$150,000 or more","3,837",233,"1,152",719,981,426,326
Median (dollars),"41,408","24,257","44,600","48,002","51,603","48,302","46,669"
,,,,,,,
,,,,,,,
ARIZONA,,,,,,,
,,,,,,,
  Total,"1,371,885","335,745","475,924","212,912","184,414","92,198","70,692"
"Less than $5,000","89,648","45,592","18,937","9,732","7,540","4,117","3,730"
"$5,000 to $9,999","123,594","64,810","29,289","11,043","7,993","5,098","5,361"
"$10,000 to $12,499","72,815","30,647","22,144","7,907","5,638","3,220","3,259"
"$12,500 to $14,999","63,125","21,889","22,050","7,236","5,523","3,362","3,065"
"$15,000 to $17,499","72,759","24,604","25,446","8,719","6,491","3,905","3,594"
"$17,500 to $19,999","65,428","19,342","24,312","8,606","6,302","4,026","2,840"
"$20,000 to $22,499","73,073","20,915","27,727","9,367","7,600","4,068","3,396"
"$22,500 to $24,999","58,268","14,460","22,912","8,357","6,157","3,468","2,914"
"$25,000 to $27,499","66,389","15,447","24,820","10,217","8,051","4,330","3,524"
"$27,500 to $29,999","52,838","10,452","21,032","8,324","6,652","3,625","2,753"
"$30,000 to $32,499","64,229","13,317","23,641","10,223","8,940","4,467","3,641"
"$32,500 to $34,999","44,879","6,625","17,690","7,962","6,720","3,342","2,540"
"$35,000 to $37,499","53,570","8,527","19,640","9,363","8,854","4,176","3,010"
"$37,500 to $39,999","40,449","4,883","15,415","7,990","6,759","3,251","2,151"
"$40,000 to $42,499","47,962","6,403","17,262","9,023","8,507","4,190","2,577"
"$42,500 to $44,999","32,939","3,071","12,518","6,531","6,168","2,893","1,758"
"$45,000 to $47,499","36,117","3,407","13,141","7,103","7,030","3,282","2,154"
"$47,500 to $49,999","28,488","2,514","10,632","5,672","5,237","2,626","1,807"
"$50,000 to $54,999","55,095","4,759","20,645","10,949","10,723","4,921","3,098"
"$55,000 to $59,999","42,324","2,469","15,676","9,271","8,473","3,885","2,550"
"$60,000 to $74,499","84,977","4,796","30,747","18,618","18,312","7,230","5,274"
"$75,000 to $99,999","56,045","3,157","21,422","12,049","11,486","4,690","3,241"
"$100,000 to $124,999","21,586","1,612","8,609","4,330","4,152","1,816","1,067"
"$125,000 to $149,999","8,433",504,"3,484","1,647","1,568",794,436
"$150,000 or more","16,855","1,543","6,733","2,673","3,538","1,416",952
Median (dollars),"27,540","15,501","29,916","34,612","37,428","34,305","30,625"
,,,,,,,
,,,,,,,
ARKANSAS,,,,,,,
,,,,,,,
  Total,"891,665","212,166","301,328","159,200","134,238","55,435","29,298"
"Less than $5,000","91,721","54,371","17,003","8,916","6,082","3,183","2,166"
"$5,000 to $9,999","118,433","56,129","37,016","11,785","7,119","3,555","2,829"
"$10,000 to $12,499","60,519","19,834","22,216","8,219","5,567","2,867","1,816"
"$12,500 to $14,999","50,307","13,333","19,797","7,672","5,275","2,409","1,821"
"$15,000 to $17,499","54,098","13,448","20,429","9,033","6,492","2,784","1,912"
"$17,500 to $19,999","47,162","9,285","18,378","8,725","6,254","2,872","1,648"
"$20,000 to $22,499","51,404","9,672","19,396","9,366","7,785","3,417","1,768"
"$22,500 to $24,999","41,553","5,959","16,012","8,350","6,791","2,793","1,648"
"$25,000 to $27,499","43,289","5,994","15,914","9,396","7,570","2,971","1,444"
"$27,500 to $29,999","34,441","3,852","12,627","7,772","6,276","2,591","1,323"
"$30,000 to $32,499","38,371","4,467","13,297","8,659","7,764","2,835","1,349"
"$32,500 to $34,999","27,684","2,223","9,984","6,317","5,904","2,246","1,010"
"$35,000 to $37,499","28,069","2,477","9,346","6,362","6,234","2,588","1,062"
"$37,500 to $39,999","22,660","1,428","7,964","5,298","5,098","1,959",913
"$40,000 to $42,499","24,622","1,778","8,298","5,686","5,932","2,132",796
"$42,500 to $44,999","18,128",990,"6,477","4,175","4,218","1,651",617
"$45,000 to $47,499","17,439",863,"5,713","4,298","4,195","1,740",630
"$47,500 to $49,999","13,716",629,"4,509","3,456","3,414","1,138",570
"$50,000 to $54,999","25,694","1,200","8,254","6,276","6,536","2,447",981
"$55,000 to $59,999","17,377",647,"5,722","4,271","4,543","1,475",719
"$60,000 to $74,499","31,541","1,348","10,704","7,684","7,739","2,887","1,179"
"$75,000 to $99,999","17,524","1,103","6,326","4,169","4,034","1,325",567
"$100,000 to $124,999","6,796",457,"2,524","1,401","1,570",627,217
"$125,000 to $149,999","2,997",185,"1,136",692,598,282,104
"$150,000 or more","6,120",494,"2,286","1,222","1,248",661,209
Median (dollars),"21,147","9,351","22,040","27,005","30,614","28,336","23,545"
,,,,,,,
,,,,,,,
CALIFORNIA,,,,,,,
,,,,,,,
  Total,"10,399,700","2,416,267","3,219,779","1,724,477","1,527,453","793,257","718,467"
"Less than $5,000","403,714","203,849","82,110","44,397","34,250","18,921","20,187"
"$5,000 to $9,999","793,789","456,380","147,322","85,125","55,978","26,382","22,602"
"$10,000 to $12,499","408,399","168,179","106,083","46,125","37,705","27,467","22,840"
"$12,500 to $14,999","363,356","121,614","118,658","43,672","33,776","20,892","24,744"
"$15,000 to $17,499","409,665","138,100","124,037","51,702","42,312","26,831","26,683"
"$17,500 to $19,999","364,656","112,524","112,970","48,516","39,878","24,121","26,647"
"$20,000 to $22,499","442,148","139,562","136,128","59,847","46,951","29,999","29,661"
"$22,500 to $24,999","360,051","98,068","118,502","51,025","40,185","25,473","26,798"
"$25,000 to $27,499","425,843","121,826","133,375","61,501","50,362","29,125","29,654"
"$27,500 to $29,999","336,327","80,832","111,629","52,474","41,391","24,222","25,779"
"$30,000 to $32,499","451,196","121,247","138,826","68,146","59,149","32,528","31,300"
"$32,500 to $34,999","316,867","61,800","107,972","52,064","44,672","24,489","25,870"
"$35,000 to $37,499","387,832","85,909","122,796","63,419","56,019","31,503","28,186"
"$37,500 to $39,999","294,080","51,551","99,660","50,258","44,554","24,357","23,700"
"$40,000 to $42,499","386,936","77,964","122,248","65,812","62,678","31,329","26,905"
"$42,500 to $44,999","265,837","36,967","89,877","48,635","45,462","22,721","22,175"
"$45,000 to $47,499","311,439","46,032","102,426","57,912","54,091","27,330","23,648"
"$47,500 to $49,999","242,023","28,939","81,016","46,624","44,167","21,805","19,472"
"$50,000 to $54,999","526,477","63,984","173,727","102,691","99,582","46,904","39,589"
"$55,000 to $59,999","416,669","35,816","141,788","86,925","81,238","38,101","32,801"
"$60,000 to $74,499","965,926","70,885","324,723","206,905","196,551","92,775","74,087"
"$75,000 to $99,999","792,419","44,904","266,744","176,275","167,009","74,661","62,826"
"$100,000 to $124,999","335,271","20,237","113,372","73,799","70,084","32,391","25,388"
"$125,000 to $149,999","140,613","8,274","49,957","29,797","27,918","13,320","11,347"
"$150,000 or more","258,167","20,824","93,833","50,831","51,491","25,610","15,578"
Median (dollars),"35,798","20,134","38,741","43,433","46,313","42,419","39,429"
,,,,,,,
,,,,,,,
COLORADO,,,,,,,
,,,,,,,
  Total,"1,285,119","340,413","424,450","213,245","190,935","79,498","36,578"
"Less than $5,000","67,384","37,901","14,738","8,224","3,979","1,662",880
"$5,000 to $9,999","108,370","64,786","22,653","9,046","6,803","3,278","1,804"
"$10,000 to $12,499","62,779","28,811","18,576","7,044","4,781","2,195","1,372"
"$12,500 to $14,999","54,159","22,210","17,483","6,395","4,491","2,390","1,190"
"$15,000 to $17,499","62,295","24,507","20,168","7,565","5,886","2,731","1,438"
"$17,500 to $19,999","56,158","19,552","19,285","7,484","5,726","2,898","1,213"
"$20,000 to $22,499","64,977","22,096","21,827","8,905","7,057","3,412","1,680"
"$22,500 to $24,999","54,267","15,130","19,879","8,047","6,619","3,060","1,532"
"$25,000 to $27,499","59,657","16,652","21,095","9,363","7,457","3,542","1,548"
"$27,500 to $29,999","49,150","11,483","18,008","8,573","6,702","3,048","1,336"
"$30,000 to $32,499","60,126","14,962","20,106","10,155","9,415","3,795","1,693"
"$32,500 to $34,999","44,212","8,016","16,357","7,935","7,249","3,336","1,319"
"$35,000 to $37,499","49,067","9,238","17,084","9,280","8,544","3,423","1,498"
"$37,500 to $39,999","40,033","6,185","14,398","7,709","7,213","3,196","1,332"
"$40,000 to $42,499","47,203","7,392","16,143","8,812","9,877","3,465","1,514"
"$42,500 to $44,999","34,321","3,950","11,974","7,021","7,374","2,657","1,345"
"$45,000 to $47,499","37,278","4,038","13,298","7,805","7,969","2,860","1,308"
"$47,500 to $49,999","29,540","2,704","10,894","5,979","6,682","2,260","1,021"
"$50,000 to $54,999","58,337","5,648","20,851","12,362","12,583","4,874","2,019"
"$55,000 to $59,999","44,412","3,248","15,549","9,724","10,387","3,881","1,623"
"$60,000 to $74,499","91,036","5,651","32,898","20,779","20,631","7,631","3,446"
"$75,000 to $99,999","61,432","3,150","22,283","14,614","13,422","5,596","2,367"
"$100,000 to $124,999","23,048","1,217","8,761","5,192","4,925","1,768","1,185"
"$125,000 to $149,999","9,261",615,"3,551","2,126","1,766",925,278
"$150,000 or more","16,617","1,271","6,591","3,106","3,397","1,615",637
Median (dollars),"30,140","16,683","32,302","37,125","40,897","38,266","37,143"
,,,,,,,
,,,,,,,
CONNECTICUT,,,,,,,
,,,,,,,
  Total,"1,230,243","294,463","397,466","223,021","195,192","83,277","36,824"
"Less than $5,000","40,314","24,646","6,484","3,997","2,841","1,282","1,064"
"$5,000 to $9,999","79,365","53,480","12,600","6,334","4,162","1,928",861
"$10,000 to $12,499","36,306","20,404","9,645","2,817","1,873",843,724
"$12,500 to $14,999","31,329","15,644","9,795","2,794","1,784",812,500
"$15,000 to $17,499","35,821","16,337","12,326","3,393","2,304",953,508
"$17,500 to $19,999","35,647","14,687","13,133","3,883","2,368","1,070",506
"$20,000 to $22,499","43,203","17,318","15,440","4,898","3,478","1,434",635
"$22,500 to $24,999","35,718","13,076","13,189","4,569","2,934","1,287",663
"$25,000 to $27,499","44,714","16,173","15,291","6,079","4,233","2,027",911
"$27,500 to $29,999","38,404","11,886","13,941","5,971","4,068","1,647",891
"$30,000 to $32,499","48,352","15,435","15,532","7,447","6,041","2,672","1,225"
"$32,500 to $34,999","35,124","7,639","13,788","6,302","4,397","2,292",706
"$35,000 to $37,499","43,430","10,118","15,210","7,569","6,683","2,716","1,134"
"$37,500 to $39,999","36,096","6,429","12,847","7,131","6,414","2,361",914
"$40,000 to $42,499","45,470","8,384","15,564","8,976","8,175","3,110","1,261"
"$42,500 to $44,999","34,558","5,069","12,165","7,018","6,544","2,829",933
"$45,000 to $47,499","39,900","5,747","14,560","7,584","7,526","3,234","1,249"
"$47,500 to $49,999","32,973","3,606","11,911","7,444","6,344","2,740",928
"$50,000 to $54,999","70,780","7,154","25,179","15,652","14,883","5,767","2,145"
"$55,000 to $59,999","59,609","4,105","22,098","13,987","12,496","4,994","1,929"
"$60,000 to $74,499","136,955","7,054","47,217","35,099","30,088","12,507","4,990"
"$75,000 to $99,999","113,529","4,670","34,476","29,013","28,152","11,640","5,578"
"$100,000 to $124,999","48,624","1,996","14,487","11,121","12,456","5,681","2,883"
"$125,000 to $149,999","20,577",878,"6,547","4,598","4,901","2,289","1,364"
"$150,000 or more","43,445","2,528","14,041","9,345","10,047","5,162","2,322"
Median (dollars),"41,721","20,294","43,311","52,187","55,196","55,579","56,588"
,,,,,,,
,,,,,,,
DELAWARE,,,,,,,
,,,,,,,
  Total,"247,163","57,070","80,704","46,323","38,632","16,490","7,944"
"Less than $5,000","10,392","6,033","2,124","1,176",685,243,131
"$5,000 to $9,999","16,313","10,353","3,107","1,382",743,356,372
"$10,000 to $12,499","9,405","4,509","2,650","1,115",699,288,144
"$12,500 to $14,999","8,675","3,364","3,163","1,029",624,359,136
"$15,000 to $17,499","9,763","3,486","3,406","1,414",824,394,239
"$17,500 to $19,999","9,544","3,414","3,353","1,343",844,339,251
"$20,000 to $22,499","10,960","3,564","3,882","1,723","1,066",460,265
"$22,500 to $24,999","8,837","2,360","3,424","1,218","1,064",462,309
"$25,000 to $27,499","10,791","3,002","3,940","1,713","1,277",538,321
"$27,500 to $29,999","9,314","2,273","3,288","1,677","1,221",573,282
"$30,000 to $32,499","11,359","2,807","4,083","1,859","1,636",645,329
"$32,500 to $34,999","8,662","1,497","3,297","1,723","1,359",539,247
"$35,000 to $37,499","10,613","1,832","3,742","2,377","1,580",802,280
"$37,500 to $39,999","8,169","1,077","2,840","1,780","1,590",626,256
"$40,000 to $42,499","10,081","1,569","3,352","2,196","1,725",913,326
"$42,500 to $44,999","6,971",812,"2,420","1,703","1,279",518,239
"$45,000 to $47,499","8,472",769,"2,948","1,967","1,772",740,276
"$47,500 to $49,999","6,214",466,"2,342","1,451","1,171",491,293
"$50,000 to $54,999","12,665",910,"4,412","2,859","2,979","1,053",452
"$55,000 to $59,999","10,476",487,"3,613","2,640","2,333","1,002",401
"$60,000 to $74,499","22,384","1,228","6,815","5,669","5,412","2,326",934
"$75,000 to $99,999","15,880",605,"4,921","3,903","3,946","1,702",803
"$100,000 to $124,999","5,591",271,"1,628","1,298","1,487",540,367
"$125,000 to $149,999","2,145",156,750,421,431,252,135
"$150,000 or more","3,487",226,"1,204",687,885,329,156
Median (dollars),"34,875","18,079","35,424","41,858","46,552","45,642","43,379"
,,,,,,,
,,,,,,,
DISTRICT OF COLUMBIA,,,,,,,
,,,,,,,
  Total,"249,034","102,947","66,926","33,466","22,570","11,854","11,271"
"Less than $5,000","21,687","13,181","3,737","2,312","1,323",590,544
"$5,000 to $9,999","19,437","11,773","3,534","1,783","1,125",580,642
"$10,000 to $12,499","10,286","5,430","2,481","1,210",621,302,242
"$12,500 to $14,999","7,552","3,802","1,794",903,495,305,253
"$15,000 to $17,499","10,554","5,486","2,450","1,214",545,454,405
"$17,500 to $19,999","9,967","4,776","2,691","1,147",653,438,262
"$20,000 to $22,499","12,710","6,726","3,053","1,343",793,450,345
"$22,500 to $24,999","9,964","5,008","2,291","1,350",693,299,323
"$25,000 to $27,499","11,020","5,568","2,859","1,102",731,384,376
"$27,500 to $29,999","8,203","3,663","2,160","1,048",573,405,354
"$30,000 to $32,499","10,792","5,619","2,532","1,220",734,417,270
"$32,500 to $34,999","6,708","2,578","1,834","1,005",659,286,346
"$35,000 to $37,499","8,719","3,670","2,246","1,208",782,392,421
"$37,500 to $39,999","6,282","2,297","1,830",903,634,251,367
"$40,000 to $42,499","7,447","3,079","2,135","1,105",620,220,288
"$42,500 to $44,999","5,415","1,984","1,513",855,502,258,303
"$45,000 to $47,499","5,927","1,950","1,722",909,750,318,278
"$47,500 to $49,999","5,072","1,535","1,378",911,674,258,316
"$50,000 to $54,999","9,583","2,934","3,002","1,461","1,051",644,491
"$55,000 to $59,999","7,905","1,907","2,760","1,361",950,447,480
"$60,000 to $74,499","18,401","4,524","5,699","3,108","2,389","1,273","1,408"
"$75,000 to $99,999","16,004","2,984","5,562","2,736","2,274","1,295","1,153"
"$100,000 to $124,999","7,520",875,"3,001","1,322","1,046",667,609
"$125,000 to $149,999","4,084",485,"1,769",739,583,242,266
"$150,000 or more","7,795","1,113","2,893","1,211","1,370",679,529
Median (dollars),"30,727","22,650","37,278","37,268","44,014","43,992","44,130"
,,,,,,,
,,,,,,,
FLORIDA,,,,,,,
,,,,,,,
  Total,"5,138,360","1,300,064","1,935,187","818,060","637,903","283,803","163,343"
"Less than $5,000","315,168","184,388","61,465","31,143","20,830","10,783","6,559"
"$5,000 to $9,999","460,392","265,824","115,498","35,984","22,517","11,601","8,968"
"$10,000 to $12,499","274,023","120,630","93,245","27,806","17,558","8,763","6,021"
"$12,500 to $14,999","235,705","87,944","90,892","26,577","16,295","8,101","5,896"
"$15,000 to $17,499","277,116","97,523","106,530","33,271","21,940","10,823","7,029"
"$17,500 to $19,999","245,527","71,723","103,886","31,475","20,696","10,641","7,106"
"$20,000 to $22,499","279,648","78,167","114,741","38,140","27,661","13,245","7,694"
"$22,500 to $24,999","230,213","52,655","102,468","33,074","23,398","11,540","7,078"
"$25,000 to $27,499","253,088","56,861","104,115","40,077","30,093","14,273","7,669"
"$27,500 to $29,999","202,570","35,473","90,130","34,924","24,549","11,009","6,485"
"$30,000 to $32,499","238,840","47,216","96,832","42,055","31,626","13,350","7,761"
"$32,500 to $34,999","175,494","24,073","75,395","33,643","24,550","11,551","6,282"
"$35,000 to $37,499","195,467","29,770","80,295","37,256","29,798","11,946","6,402"
"$37,500 to $39,999","150,512","17,421","63,146","30,028","24,356","10,066","5,495"
"$40,000 to $42,499","175,243","23,319","69,062","35,507","28,952","12,587","5,816"
"$42,500 to $44,999","124,555","11,326","51,708","26,726","20,987","8,977","4,831"
"$45,000 to $47,499","132,414","12,925","52,349","27,893","23,878","10,273","5,096"
"$47,500 to $49,999","104,144","7,922","41,639","22,906","19,446","7,967","4,264"
"$50,000 to $54,999","202,470","17,880","77,784","44,077","38,699","15,696","8,334"
"$55,000 to $59,999","151,197","9,947","58,635","34,107","29,717","12,399","6,392"
"$60,000 to $74,499","306,795","19,041","117,043","68,948","62,727","24,676","14,360"
"$75,000 to $99,999","209,795","12,809","81,721","45,829","42,236","17,647","9,553"
"$100,000 to $124,999","81,933","6,199","34,458","15,644","14,910","6,903","3,819"
"$125,000 to $149,999","36,482","2,265","16,031","7,083","6,733","2,804","1,566"
"$150,000 or more","79,569","6,763","36,119","13,887","13,751","6,182","2,867"
Median (dollars),"27,483","14,751","29,573","35,058","38,264","36,302","33,855"
,,,,,,,
,,,,,,,
GEORGIA,,,,,,,
,,,,,,,
  Total,"2,366,575","533,234","740,025","457,421","385,593","163,351","86,951"
"Less than $5,000","187,826","102,494","34,638","22,997","15,339","7,919","4,439"
"$5,000 to $9,999","210,252","100,489","58,515","23,401","14,718","7,183","5,946"
"$10,000 to $12,499","110,044","39,727","35,917","15,936","10,063","4,800","3,601"
"$12,500 to $14,999","94,098","28,509","32,761","15,126","9,882","4,744","3,076"
"$15,000 to $17,499","111,240","34,481","35,775","18,276","12,783","6,111","3,814"
"$17,500 to $19,999","98,883","27,377","32,775","17,160","12,619","5,460","3,492"
"$20,000 to $22,499","114,410","30,952","36,935","19,860","15,335","6,998","4,330"
"$22,500 to $24,999","94,035","21,051","31,854","18,061","13,152","6,261","3,656"
"$25,000 to $27,499","108,915","24,920","34,924","21,122","16,486","7,598","3,865"
"$27,500 to $29,999","88,064","16,901","30,118","17,624","13,987","6,250","3,184"
"$30,000 to $32,499","107,248","21,274","33,156","21,230","19,274","8,254","4,060"
"$32,500 to $34,999","79,506","10,811","27,257","17,426","14,343","6,133","3,536"
"$35,000 to $37,499","91,230","13,065","30,028","20,260","17,356","7,282","3,239"
"$37,500 to $39,999","68,975","7,719","23,194","15,577","13,682","5,943","2,860"
"$40,000 to $42,499","83,586","9,992","27,967","18,733","17,426","6,405","3,063"
"$42,500 to $44,999","60,811","5,096","20,035","14,814","12,923","5,356","2,587"
"$45,000 to $47,499","65,808","6,025","21,469","15,645","14,365","5,675","2,629"
"$47,500 to $49,999","50,507","3,442","16,798","12,181","11,567","4,158","2,361"
"$50,000 to $54,999","100,809","7,245","33,432","24,032","23,135","8,813","4,152"
"$55,000 to $59,999","79,153","3,870","25,166","19,776","19,314","7,612","3,415"
"$60,000 to $74,499","161,705","7,873","51,362","40,545","39,847","15,198","6,880"
"$75,000 to $99,999","109,354","4,441","35,537","26,789","27,036","10,584","4,967"
"$100,000 to $124,999","40,880","2,256","13,122","9,891","9,768","3,903","1,940"
"$125,000 to $149,999","16,094",881,"5,633","3,705","3,494","1,669",712
"$150,000 or more","33,142","2,343","11,657","7,254","7,699","3,042","1,147"
Median (dollars),"29,021","14,596","30,437","35,061","38,863","36,361","32,509"
,,,,,,,
,,,,,,,
HAWAII,,,,,,,
,,,,,,,
  Total,"356,748","67,857","102,726","65,722","59,136","31,772","29,535"
"Less than $5,000","13,393","8,155","2,362","1,288",752,497,339
"$5,000 to $9,999","18,011","9,357","4,334","1,838","1,484",681,317
"$10,000 to $12,499","10,981","4,294","3,044","1,483","1,078",666,416
"$12,500 to $14,999","10,676","3,921","3,351","1,343","1,102",499,460
"$15,000 to $17,499","13,140","4,276","3,953","2,045","1,533",774,559
"$17,500 to $19,999","12,184","3,472","3,966","1,958","1,426",752,610
"$20,000 to $22,499","15,147","4,711","4,761","2,300","1,755","1,060",560
"$22,500 to $24,999","12,834","3,354","4,333","2,088","1,605",838,616
"$25,000 to $27,499","14,603","3,646","4,611","2,544","1,977","1,057",768
"$27,500 to $29,999","11,194","2,152","4,022","1,949","1,721",755,595
"$30,000 to $32,499","15,204","3,444","4,823","2,773","2,246","1,206",712
"$32,500 to $34,999","11,185","1,791","3,950","2,061","1,783","1,011",589
"$35,000 to $37,499","14,144","2,392","4,469","2,739","2,415","1,250",879
"$37,500 to $39,999","10,680","1,414","3,577","1,996","2,021",965,707
"$40,000 to $42,499","13,338","2,256","4,197","2,638","2,279","1,022",946
